rank,city,state,niche,payout_type,payout,avg_payout,zips,population,density,county,score
"708","Sadsburyville","PA","Garage Door","CPL","36.5","36.5","1","967","869","Chester","25.3"
"709","Schenevus","NY","Garage Door","CPL","36.5","36.5","1","390","190","Otsego","25.3"
"710","Schuylerville","NY","Garage Door","CPL","36.5","36.5","1","1571","1236","Saratoga","25.3"
"711","Sharon Springs","NY","Garage Door","CPL","36.5","36.5","1","634","134","Schoharie","25.3"
"712","Springfield Center","NY","Garage Door","CPL","36.5","36.5","1","244","24","Otsego","25.3"
"713","Toughkenamon","PA","Garage Door","CPL","36.5","36.5","1","804","136","Chester","25.3"
"714","Tribes Hill","NY","Garage Door","CPL","36.5","36.5","1","959","170","Montgomery","25.3"
"715","Unionville","PA","Garage Door","CPL","36.5","36.5","1","652","345","Chester","25.3"
"716","Valatie","NY","Garage Door","CPL","36.5","36.5","1","1796","486","Columbia","25.3"
"717","Valley Falls","NY","Garage Door","CPL","36.5","36.5","1","451","358","Rensselaer","25.3"
"718","Wallingford","PA","Garage Door","CPL","36.5","36.5","1","1225","628","Delaware","25.3"
"719","West Coxsackie","NY","Garage Door","CPL","36.5","36.5","1","298","46","Greene","25.3"
"720","Westford","NY","Garage Door","CPL","36.5","36.5","1","101","19","Otsego","25.3"
"721","White House","TN","Garage Door","CPL","74","74","1","14631","454","Robertson","25.3"
"722","Worcester","NY","Garage Door","CPL","36.5","36.5","1","101","19","Otsego","25.3"
"723","Yacolt","WA","Garage Door","CPL","36.5","36.5","1","1684","1094","Clark","25.3"
"724","Talladega","AL","Garage Door","CPL","74","74","1","14760","223","Talladega","25.21"
"725","Brush Prairie","WA","Garage Door","CPL","36.5","36.5","1","2526","129","Clark","25.2"
"726","Braddock Heights","MD","Garage Door","CPL","38.5","38.5","1","2892","189","Frederick","25.18"
"727","Mount Juliet","TN","Garage Door","CPL","74","74","2","42073","602","Wilson","25.13"
"728","Beech Grove","IN","Garage Door","CPL","74","74","1","14913","1303","Marion","25.11"
"729","Coppell","TX","Garage Door","CPL","74","74","2","42154","1125","Dallas","25.11"
"730","Danville","VA","Garage Door","CPL","74","74","2","42214","381","Danville","25.1"
"731","Cherry Hill","NJ","Garage Door","CPL","38.5","38.5","3","15173","1570","Camden","25.08"
"732","Magnolia","TX","Garage Door","CPL","29","29","2","4068","257","Montgomery","25.08"
"733","Medina","WA","Garage Door","CPL","38.5","38.5","1","2928","777","King","25.05"
"734","Taylor","TX","Garage Door","CPL","78","78","1","17136","286","Williamson","25.03"
"735","Nolensville","TN","Garage Door","CPL","74","74","1","15074","538","Williamson","25"
"736","Wynnewood","PA","Garage Door","CPL","37.5","37.5","1","2766","1886","Montgomery","24.96"
"737","Braselton","GA","Garage Door","CPL","74","74","1","15178","411","Jackson","24.93"
"738","Sewell","NJ","Garage Door","CPL","38.5","38.5","1","2982","594","Gloucester","24.87"
"739","Alexandria","VA","Garage Door","CPL","38.5","38.5","14","156976","4053","Alexandria","24.82"
"740","Crowley","TX","Garage Door","CPL","81.5","81.5","1","19532","974","Tarrant","24.82"
"741","Mebane","NC","Garage Door","CPL","81.5","81.5","1","19538","597","Alamance","24.82"
"742","Monroe","OH","Garage Door","CPL","74","74","1","15401","368","Butler","24.79"
"743","Rancho Mirage","CA","Garage Door","CPL","78","78","1","17563","265","Riverside","24.79"
"744","Loganville","GA","Garage Door","CPL","74","74","1","15527","776","Walton","24.71"
"745","National Park","NJ","Garage Door","CPL","38.5","38.5","1","3044","1165","Gloucester","24.67"
"746","Laguna Beach","CA","Garage Door","CPL","86","86","1","22710","989","Orange","24.66"
"747","Powder Springs","GA","Garage Door","CPL","78","78","1","18009","845","Cobb","24.54"
"748","Melissa","TX","Garage Door","CPL","81.5","81.5","1","20136","590","Collin","24.52"
"749","Buda","TX","Garage Door","CPL","74","74","1","15859","622","Hays","24.5"
"750","Woodbury Heights","NJ","Garage Door","CPL","38.5","38.5","1","3117","965","Gloucester","24.43"
"751","Brentwood","TN","Garage Door","CPL","74","74","2","45556","415","Williamson","24.35"
"752","Palm Desert","CA","Garage Door","CPL","78","78","2","51990","743","Riverside","24.34"
"753","Olathe","KS","Garage Door","CPL","77.5","77.5","4","145057","862","Johnson","24.32"
"754","Calhan","CO","Garage Door","CPL","35","35","1","620","217","El Paso","24.26"
"755","Cascade","CO","Garage Door","CPL","35","35","1","1412","34","El Paso","24.26"
"756","Elbert","CO","Garage Door","CPL","35","35","1","164","106","Elbert","24.26"
